,episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info,reward,weight,priority,pred_action,pred_reward
51,116,37,[ 0.24283547  0.38277402 -0.21105906 -0.79668087],1,-1.0,36.0,True,[ 0.24283547  0.38277402 -0.21105906 -0.79668087],{},-1.0,0.00023293733985557886,1.0,1.0,6.838858127593994
52,213,0,[ 0.02895111  0.01699437 -0.01475626  0.04404894],1,1.0,0.0,False,[ 0.029291    0.21232478 -0.01387528 -0.25325295],{},1.0,0.00023293733985557886,1.0,1.0,7.218316555023193
53,213,1,[ 0.029291    0.21232478 -0.01387528 -0.25325295],1,1.0,0.0,False,[ 0.03353749  0.40764208 -0.01894034 -0.5502799 ],{},1.0,0.00023293733985557886,1.0,1.0,7.1675872802734375
54,213,2,[ 0.03353749  0.40764208 -0.01894034 -0.5502799 ],1,1.0,0.0,False,[ 0.04169034  0.60302487 -0.02994594 -0.84886965],{},1.0,0.00023293733985557886,1.0,1.0,7.018214702606201
55,213,3,[ 0.04169034  0.60302487 -0.02994594 -0.84886965],1,1.0,0.0,False,[ 0.05375083  0.79854216 -0.04692333 -1.15081689],{},1.0,0.00023293733985557886,1.0,1.0,6.8638386726379395
56,213,4,[ 0.05375083  0.79854216 -0.04692333 -1.15081689],0,1.0,0.0,False,[ 0.06972168  0.60406288 -0.06993967 -0.87320945],{},1.0,0.00023293733985557886,1.0,1.0,6.707468032836914
57,213,5,[ 0.06972168  0.60406288 -0.06993967 -0.87320945],0,1.0,0.0,False,[ 0.08180293  0.40995807 -0.08740386 -0.60330956],{},1.0,0.00023293733985557886,1.0,1.0,6.842785835266113
58,213,6,[ 0.08180293  0.40995807 -0.08740386 -0.60330956],0,1.0,0.0,False,[ 0.0900021   0.2161603  -0.09947005 -0.33938661],{},1.0,0.00023293733985557886,1.0,1.0,6.97914457321167
59,213,7,[ 0.0900021   0.2161603  -0.09947005 -0.33938661],0,1.0,0.0,False,[ 0.0943253   0.02258403 -0.10625778 -0.07965348],{},1.0,0.00023293733985557886,1.0,1.0,7.117257595062256
60,213,8,[ 0.0943253   0.02258403 -0.10625778 -0.07965348],0,1.0,0.0,False,[ 0.09477698 -0.17086692 -0.10785085  0.17770529],{},1.0,0.00023293733985557886,1.0,1.0,7.222795486450195
61,213,9,[ 0.09477698 -0.17086692 -0.10785085  0.17770529],0,1.0,0.0,False,[ 0.09135964 -0.36429342 -0.10429675  0.43451254],{},1.0,0.00023293733985557886,1.0,1.0,7.257426738739014
62,213,10,[ 0.09135964 -0.36429342 -0.10429675  0.43451254],0,1.0,0.0,False,[ 0.08407378 -0.55779615 -0.0956065   0.69258171],{},1.0,0.00023293733985557886,1.0,1.0,7.259032726287842
63,213,11,[ 0.08407378 -0.55779615 -0.0956065   0.69258171],1,1.0,0.0,False,[ 0.07291785 -0.36148697 -0.08175486  0.3713972 ],{},1.0,0.00023293733985557886,1.0,1.0,7.166854381561279
64,213,12,[ 0.07291785 -0.36148697 -0.08175486  0.3713972 ],1,1.0,0.0,False,[ 0.06568811 -0.16530447 -0.07432692  0.05409719],{},1.0,0.00023293733985557886,1.0,1.0,7.267307758331299
65,213,13,[ 0.06568811 -0.16530447 -0.07432692  0.05409719],1,1.0,0.0,False,[ 0.06238202  0.03080018 -0.07324497 -0.26107963],{},1.0,0.00023293733985557886,1.0,1.0,7.269221782684326
66,213,14,[ 0.06238202  0.03080018 -0.07324497 -0.26107963],0,1.0,0.0,False,[ 0.06299803 -0.16320393 -0.07846657  0.00763152],{},1.0,0.00023293733985557886,1.0,1.0,7.229032516479492
67,213,15,[ 0.06299803 -0.16320393 -0.07846657  0.00763152],1,1.0,0.0,False,[ 0.05973395  0.03295054 -0.07831394 -0.30874036],{},1.0,0.00023293733985557886,1.0,1.0,7.275358200073242
68,213,16,[ 0.05973395  0.03295054 -0.07831394 -0.30874036],0,1.0,0.0,False,[ 0.06039296 -0.16097329 -0.08448874 -0.04174695],{},1.0,0.00023293733985557886,1.0,1.0,7.225707530975342
69,213,17,[ 0.06039296 -0.16097329 -0.08448874 -0.04174695],0,1.0,0.0,False,[ 0.05717349 -0.35478846 -0.08532368  0.22312863],{},1.0,0.00023293733985557886,1.0,1.0,7.282223701477051
70,213,18,[ 0.05717349 -0.35478846 -0.08532368  0.22312863],0,1.0,0.0,False,[ 0.05007772 -0.54859383 -0.08086111  0.48772439],{},1.0,0.00023293733985557886,1.0,1.0,7.302591323852539
71,213,19,[ 0.05007772 -0.54859383 -0.08086111  0.48772439],1,1.0,0.0,False,[ 0.03910585 -0.35242965 -0.07110662  0.1706923 ],{},1.0,0.00023293733985557886,1.0,1.0,7.248918533325195
72,213,20,[ 0.03910585 -0.35242965 -0.07110662  0.1706923 ],0,1.0,0.0,False,[ 0.03205725 -0.54646561 -0.06769278  0.44012302],{},1.0,0.00023293733985557886,1.0,1.0,7.307455539703369
73,213,21,[ 0.03205725 -0.54646561 -0.06769278  0.44012302],0,1.0,0.0,False,[ 0.02112794 -0.74056752 -0.05889031  0.71072257],{},1.0,0.00023293733985557886,1.0,1.0,7.259060859680176
74,213,22,[ 0.02112794 -0.74056752 -0.05889031  0.71072257],1,1.0,0.0,False,[ 0.00631659 -0.5446816  -0.04467586  0.40009931],{},1.0,0.00023293733985557886,1.0,1.0,7.143252372741699
75,213,23,[ 0.00631659 -0.5446816  -0.04467586  0.40009931],0,1.0,0.0,False,[-0.00457704 -0.73914228 -0.03667388  0.67836895],{},1.0,0.00023293733985557886,1.0,1.0,7.255409240722656
